iso_code,year,date,total_cases,total_deaths,vaccinated_rate,fully_vaccinated_rate,booster_rate,population,country,cases_per_million,deaths_per_million
KHM,2020,2020-12-31,364.0,0.0,,,,16725474.0,Cambodia,21.76320981994292,0.0
KHM,2021,2021-12-31,120449.0,3008.0,85.06,81.46,21.4,16974305.0,Cambodia,7095.960629905024,177.2090226963637
KHM,2022,2022-12-31,138495.0,3056.0,90.9,87.11,62.17,17201724.0,Cambodia,8051.227888553496,177.6566116279973
CMR,2020,2020-12-31,26277.0,448.0,,,,26210558.0,Cameroon,1002.5349326786557,17.092348816076328
CMR,2021,2021-12-31,108676.0,1851.0,2.99,2.36,,26915758.0,Cameroon,4037.634756561565,68.7701234347552
CMR,2022,2022-12-31,123993.0,1965.0,11.58,9.78,1.63,27632771.0,Cameroon,4487.172133406381,71.11121790862016
CAN,2020,2020-12-31,539241.0,14734.0,0.25,0.0,,38028638.0,Canada,14179.866236597798,387.44485143012486
CAN,2021,2021-12-31,1961723.0,29851.0,82.56,76.55,19.9,38239864.0,Canada,51300.470106274435,780.6251612191926
CAN,2022,2022-12-31,4476385.0,48421.0,90.02,82.52,77.9,38935934.0,Canada,114967.96249962824,1243.6069981010344
CPV,2020,2020-12-31,11698.0,112.0,,,,514679.0,Cape Verde,22728.729946238334,217.6113655307483
CPV,2021,2021-12-31,39013.0,352.0,51.05,43.15,,516649.0,Cape Verde,75511.61426810078,681.3136191108471
CPV,2022,2022-12-31,63190.0,412.0,60.14,52.05,0.13,519741.0,Cape Verde,121579.78685537605,792.7025191393406
CYM,2020,2020-12-31,318.0,2.0,0.0,,,68684.0,Cayman Islands,4629.89924873333,29.118863199580687
CYM,2021,2021-12-31,8386.0,11.0,85.26,82.78,,70108.0,Cayman Islands,119615.45044788042,156.90078165116677
CYM,2022,2022-12-31,31472.0,37.0,89.97,88.09,35.02,71591.0,Cayman Islands,439608.3306560881,516.824740540012
CAF,2020,2020-12-31,5814.0,63.0,,,,5026628.0,Central African Republic,1156.6401969670324,12.533252908311496
CAF,2021,2021-12-31,12268.0,101.0,6.72,6.0,,5112100.0,Central African Republic,2399.796561100135,19.75704700612273
CAF,2022,2022-12-31,15360.0,113.0,35.58,34.68,3.84,5098039.0,Central African Republic,3012.9232043929046,22.165385553150927
TCD,2020,2020-12-31,1986.0,104.0,,,,17224679.0,Chad,115.29968134674672,6.037848368611107
TCD,2021,2021-12-31,5701.0,181.0,1.16,0.46,,17828273.0,Chad,319.77298081536,10.152413528780942
